track_id,track_name,artist_id,artist_name,popularity,features
3ebDHaDLyWn6YMhYYuDnEx,Warm (Remaster),31hDouD40df6TsqnZZpNAK,homezone,24,"{'danceability': 0.645, 'energy': 0.642, 'key': 5, 'loudness': -5.565, 'mode': 1, 'speechiness': 0.0344, 'acousticness': 0.427, 'instrumentalness': 0, 'liveness': 0.113, 'valence': 0.447, 'tempo': 127.055, 'type': 'audio_features', 'id': '3ebDHaDLyWn6YMhYYuDnEx', 'uri': 'spotify:track:3ebDHaDLyWn6YMhYYuDnEx', 'track_href': 'https://api.spotify.com/v1/tracks/3ebDHaDLyWn6YMhYYuDnEx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3ebDHaDLyWn6YMhYYuDnEx', 'duration_ms': 190000, 'time_signature': 4}"
4104eILuuQhhcJRkCwGHZE,Casual,51KbY36mrjHRQwvSbel74l,Jesse Barrera,34,"{'danceability': 0.53, 'energy': 0.45, 'key': 7, 'loudness': -10.006, 'mode': 1, 'speechiness': 0.168, 'acousticness': 0.393, 'instrumentalness': 0, 'liveness': 0.207, 'valence': 0.412, 'tempo': 67.467, 'type': 'audio_features', 'id': '4104eILuuQhhcJRkCwGHZE', 'uri': 'spotify:track:4104eILuuQhhcJRkCwGHZE', 'track_href': 'https://api.spotify.com/v1/tracks/4104eILuuQhhcJRkCwGHZE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4104eILuuQhhcJRkCwGHZE', 'duration_ms': 200038, 'time_signature': 4}"
14qF2dnsVGh5lOvD7E6wSm,"Quando, Quando, Quando (with Nelly Furtado)",1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,57,"{'danceability': 0.643, 'energy': 0.427, 'key': 9, 'loudness': -9.196, 'mode': 1, 'speechiness': 0.0391, 'acousticness': 0.778, 'instrumentalness': 9.49e-05, 'liveness': 0.136, 'valence': 0.577, 'tempo': 116.042, 'type': 'audio_features', 'id': '14qF2dnsVGh5lOvD7E6wSm', 'uri': 'spotify:track:14qF2dnsVGh5lOvD7E6wSm', 'track_href': 'https://api.spotify.com/v1/tracks/14qF2dnsVGh5lOvD7E6wSm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/14qF2dnsVGh5lOvD7E6wSm', 'duration_ms': 284373, 'time_signature': 4}"
4ShxDU7CHNQVi2wwgSdqfF,Loving You Girl (feat. Hkeem),56zJ6PZ3mNPBiBqglW2KxL,Peder Elias,45,"{'danceability': 0.592, 'energy': 0.437, 'key': 7, 'loudness': -9.088, 'mode': 0, 'speechiness': 0.098, 'acousticness': 0.514, 'instrumentalness': 5.26e-05, 'liveness': 0.188, 'valence': 0.499, 'tempo': 91.913, 'type': 'audio_features', 'id': '4ShxDU7CHNQVi2wwgSdqfF', 'uri': 'spotify:track:4ShxDU7CHNQVi2wwgSdqfF', 'track_href': 'https://api.spotify.com/v1/tracks/4ShxDU7CHNQVi2wwgSdqfF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4ShxDU7CHNQVi2wwgSdqfF', 'duration_ms': 171800, 'time_signature': 4}"
2fQdK9TqM1mCURsjEcT0ly,Dance The Night Away,7n2Ycct7Beij7Dj7meI4X0,TWICE,35,"{'danceability': 0.709, 'energy': 0.861, 'key': 0, 'loudness': -2.905, 'mode': 1, 'speechiness': 0.0941, 'acousticness': 0.106, 'instrumentalness': 4.73e-05, 'liveness': 0.112, 'valence': 0.779, 'tempo': 118.089, 'type': 'audio_features', 'id': '2fQdK9TqM1mCURsjEcT0ly', 'uri': 'spotify:track:2fQdK9TqM1mCURsjEcT0ly', 'track_href': 'https://api.spotify.com/v1/tracks/2fQdK9TqM1mCURsjEcT0ly', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2fQdK9TqM1mCURsjEcT0ly', 'duration_ms': 180809, 'time_signature': 4}"
6N1K5OVVCopBjGViHs2IvP,The Joker And The Queen (feat. Taylor Swift),6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,66,"{'danceability': 0.528, 'energy': 0.309, 'key': 0, 'loudness': -7.398, 'mode': 1, 'speechiness': 0.0329, 'acousticness': 0.924, 'instrumentalness': 2.1e-06, 'liveness': 0.282, 'valence': 0.307, 'tempo': 133.83, 'type': 'audio_features', 'id': '6N1K5OVVCopBjGViHs2IvP', 'uri': 'spotify:track:6N1K5OVVCopBjGViHs2IvP', 'track_href': 'https://api.spotify.com/v1/tracks/6N1K5OVVCopBjGViHs2IvP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6N1K5OVVCopBjGViHs2IvP', 'duration_ms': 185422, 'time_signature': 4}"
47qeWYZT369E5Aug5D5nm2,If It Weren’t For You,3zDRCqOhJXJfS2YWOEwGMC,Christopher,40,"{'danceability': 0.677, 'energy': 0.709, 'key': 1, 'loudness': -3.867, 'mode': 1, 'speechiness': 0.098, 'acousticness': 0.00873, 'instrumentalness': 0, 'liveness': 0.173, 'valence': 0.459, 'tempo': 160.982, 'type': 'audio_features', 'id': '47qeWYZT369E5Aug5D5nm2', 'uri': 'spotify:track:47qeWYZT369E5Aug5D5nm2', 'track_href': 'https://api.spotify.com/v1/tracks/47qeWYZT369E5Aug5D5nm2', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/47qeWYZT369E5Aug5D5nm2', 'duration_ms': 150463, 'time_signature': 4}"
1nfT7zOpzdfaeuBoIlTEoP,스프링클 파티 (Sung by NMIXX),28ot3wh4oNmoFOdVajibBl,NMIXX,34,"{'danceability': 0.744, 'energy': 0.669, 'key': 3, 'loudness': -4.223, 'mode': 1, 'speechiness': 0.0331, 'acousticness': 0.69, 'instrumentalness': 0, 'liveness': 0.122, 'valence': 0.466, 'tempo': 94.991, 'type': 'audio_features', 'id': '1nfT7zOpzdfaeuBoIlTEoP', 'uri': 'spotify:track:1nfT7zOpzdfaeuBoIlTEoP', 'track_href': 'https://api.spotify.com/v1/tracks/1nfT7zOpzdfaeuBoIlTEoP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1nfT7zOpzdfaeuBoIlTEoP', 'duration_ms': 136267, 'time_signature': 4}"
4wsZKLLRZ2sjawvSuM39Wc,Bla Bli Blu,4RnzpVhMevUeU16FlV4e3e,Valentina Ploy,27,"{'danceability': 0.767, 'energy': 0.518, 'key': 2, 'loudness': -6.711, 'mode': 1, 'speechiness': 0.0583, 'acousticness': 0.454, 'instrumentalness': 0, 'liveness': 0.221, 'valence': 0.548, 'tempo': 107.03, 'type': 'audio_features', 'id': '4wsZKLLRZ2sjawvSuM39Wc', 'uri': 'spotify:track:4wsZKLLRZ2sjawvSuM39Wc', 'track_href': 'https://api.spotify.com/v1/tracks/4wsZKLLRZ2sjawvSuM39Wc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4wsZKLLRZ2sjawvSuM39Wc', 'duration_ms': 177757, 'time_signature': 4}"
4kLLWz7srcuLKA7Et40PQR,I Gotta Feeling,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,82,"{'danceability': 0.744, 'energy': 0.766, 'key': 0, 'loudness': -6.375, 'mode': 1, 'speechiness': 0.0265, 'acousticness': 0.0873, 'instrumentalness': 0, 'liveness': 0.509, 'valence': 0.61, 'tempo': 127.966, 'type': 'audio_features', 'id': '4kLLWz7srcuLKA7Et40PQR', 'uri': 'spotify:track:4kLLWz7srcuLKA7Et40PQR', 'track_href': 'https://api.spotify.com/v1/tracks/4kLLWz7srcuLKA7Et40PQR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4kLLWz7srcuLKA7Et40PQR', 'duration_ms': 289133, 'time_signature': 4}"
